trait,country,admin1,admin2,collection_date,latitude,longitude,location_used
EPI_ISL_18698502|A/Chicken/Argentina/919-3/2023|H5N1|Argentina-Neuquen|2023-03-13|domestic_avian|B3.2,Argentina,Neuquen,Confluencia,2023-03-13,-38.556134,-70.37928,precise (Martha)
EPI_ISL_18698482|A/Chicken/Argentina/578-2/2023|H5N1|Argentina-Rio_Negro|2023-02-23|domestic_avian|B3.2,Argentina,Rio_Negro,Avellaneda,2023-02-23,-39.39435,-65.64608,precise (Martha)
EPI_ISL_18698510|A/Chicken/Argentina/1416-3/2023|H5N1|Argentina|2023-04-03|domestic_avian|B3.2,Argentina,Rio_Negro,Pichi Mahuida,2023-04-03,-38.888405,-64.413895,precise (Martha)
EPI_ISL_18698755|A/Sea_Lion/Argentina/3893-1/2023|H5N1|Argentina-Rio_Negro|2023-08-11|other_mammal|B3.2,Argentina,Rio_Negro,Adolfo Alsina,2023-08-11,-41.15491,-63.1613,precise (Martha)
OR987084|A/South_American_sea_lion/Argentina/RN-PB004/2023|H5N1|Argentina-Rio_Negro|2023-08-26|other_mammal|B3.2,Argentina,Rio_Negro,Adolfo Alsina,2023-08-26,-41.1558,-63.1323,precise (Martha)
EPI_ISL_18698529|A/Chicken/Argentina/3657-2/2023|H5N1|Argentina-Salta|2023-07-26|domestic_avian|B3.2,Argentina,Salta,Metan,2023-07-26,NA,NA,
EPI_ISL_18698480|A/Chicken/Argentina/559-8/2023|H5N1|Argentina-San_Luis|2023-02-22|domestic_avian|B3.2,Argentina,San_Luis,Juan Martín de Pueyrredón,2023-02-22,-33.24245,-66.88304,precise (Martha)
EPI_ISL_18698731|A/Chicken/Argentina/895-1/2023|H5N1|Argentina-San_Luis|2023-03-09|domestic_avian|B3.2,Argentina,San_Luis,Junin,2023-03-09,-32.389,-65.096,precise (Martha)
EPI_ISL_18698513|A/Turkey/Argentina/1710-1/2023|H5N1|Argentina-Santa_Cruz|2023-04-17|domestic_avian|B3.2,Argentina,Santa_Cruz,Guer Aike,2023-04-17,-51.51924,-72.18606,precise (Martha)
EPI_ISL_18698506|A/Chicken/Argentina/1200-1/2023|H5N1|Argentina-Santa_Fe|2023-03-27|domestic_avian|B3.2,Argentina,Santa_Fe,General Lopez,2023-03-27,-33.73278,-61.92956,precise (Martha)
EPI_ISL_18698476|A/Chicken/Argentina/509-2/2023|H5N1|Argentina-Santa_Fe|2023-02-21|domestic_avian|B3.2,Argentina,Santa_Fe,San Jeronimo,2023-02-21,-32.28761,-61.46188,precise (Martha)
EPI_ISL_18698497|A/Turkey/Argentina/753-1/2023|H5N1|Argentina-Santa_Fe|2023-03-04|domestic_avian|B3.2,Argentina,Santa_Fe,Las Colonias,2023-03-04,-31.281576,-61.026789,precise (Martha)
EPI_ISL_18698754|A/Sea_Lion/Argentina/3849-4/2023|H5N1|Argentina-Tierra_del_Fuego|2023-08-08|other_mammal|B3.2,Argentina,Tierra_del_Fuego,Rio Grande,2023-08-08,-53.71557,-67.80045,precise (Martha)
EPI_ISL_19410267|A/chicken/Cochabamba/39356/2023|H5N1|Bolivia-Cochabamba|2023-01-26|domestic_avian|B3.2,Bolivia,Cochabamba,Unknown,2023-01-26,NA,NA,
EPI_ISL_19410269|A/chicken/Cochabamba/39425/2023|H5N1|Bolivia-Cochabamba|2023-02-07|domestic_avian|B3.2,Bolivia,Cochabamba,Unknown,2023-02-07,NA,NA,
EPI_ISL_19418487|A/chicken/Cochabamba/39539/2023|H5N1|Bolivia-Cochabamba|2023-03-03|domestic_avian|B3.2,Bolivia,Cochabamba,Unknown,2023-03-03,NA,NA,
EPI_ISL_19410299|A/chicken/Potosi/39870/2023|H5N1|Bolivia-Potosi|2023-06-06|domestic_avian|B3.2,Bolivia,Potosi,Unknown,2023-06-06,NA,NA,
OR889491|A/Buteogallus_urubitinga/Itapemirim/1630-SC/2023|H5N1|Brazil-ES|2023-06-07|wild_avian|B3.2,Brazil,ES,Cachoeiro De Itapemirim,2023-06-07,-20.99954,-40.941583,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
EPI_ISL_18130622|A/Thalasseus_acuflavidus/Brazil-ES/23ES1A0009/2023|H5N1|Brazil-ES|2023-06-21|wild_avian|B3.2,Brazil,ES,Vila Velha,2023-06-21,-20.363252,-40.279514,precise (Martha)
OR269887|A/Thalasseus_acuflavidus/EspiritoSanto/1339_N2/2023|H5N1|Brazil-ES|2023-05-15|wild_avian|B3.2,Brazil,ES,Cariacica,2023-05-15,-20.33124,-40.35964,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP779060|A/Sterna_hirundo/ItapemirimBR/0155-N/2024|H5N1|Brazil-ES|2024-02-02|wild_avian|B3.2,Brazil,ES,Itapemirim,2024-02-02,-20.906211,-40.780175,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP780446|A/Sterna_hirundo/PiumaBR/0448-N/2024|H5N1|Brazil-ES|2024-03-02|wild_avian|B3.2,Brazil,ES,Piuma,2024-03-02,-20.838072,-40.708908,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
OR853704|A/Megascops_choliba/Serra/1409-N/2023|H5N1|Brazil-ES|2023-05-26|wild_avian|B3.2,Brazil,ES,Serra,2023-05-26,-20.1544,-40.2694,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
OR839997|A/Gallus_gallus/Bonito/2108-SN52/2023|H5N1|Brazil-MS|2023-09-22|domestic_avian|B3.2,Brazil,MS,Bonito,2023-09-22,-21.183888,-56.526019,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
EPI_ISL_18975372|A/Sula_leucogaster/Brazil-PR/A0001-IBTEC/2023|H5N1|Brazil-PR|2023-07-25|wild_avian|B3.2,Brazil,PR,Matinhos,2023-07-25,-25.7751123,-48.5147336,precise (Martha)
OR878088|A/Thalasseus_maximus/Antonina/1775-N/2023|H5N1|Brazil-PR|2023-06-23|wild_avian|B3.2,Brazil,PR,Antonina,2023-06-23,-25.460489,-48.692789,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
PP776752|A/Thalasseus_acuflavidus/MatinhosBR/2277-N/2023|H5N1|Brazil-PR|2023-11-14|wild_avian|B3.2,Brazil,PR,Matinhos,2023-11-14,-25.8095,-48.538417,https://pmc.ncbi.nlm.nih.gov/articles/PMC11239711/
