node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear,tipLabel,startFlyway,endFlyway
774,775,0.0074971867516147,-91.9385621625959,39.4935922122473,-91.7796028406475,39.4212761957175,0.150543810340873,0.143046623589258,2024.71105012737,2024.71854731412,NA,Mississippi,Mississippi
708,714,0.044391340089124,-105.728028959509,42.1938404003271,-106.579254399052,42.8022832903793,0.150624387609818,0.106233047520694,2024.6742365513,2024.71862789139,NA,Central,Central
701,702,0.123340861821724,-109.378522287182,43.0991776834744,-116.159746180656,41.2585517890998,0.150704995350584,0.0273641335288604,2024.59536763731,2024.71870849913,NA,Central,Pacific
842,855,0.015506509798195,-93.659354283568,41.9557819195669,-94.4618388450346,40.7045061849133,0.151338502220673,0.135831992422478,2024.7038354962,2024.719342006,NA,Mississippi,Mississippi
1266,1292,0.00541554600467564,-103.42909660667,38.9829345108037,-101.697712019883,38.2489321666674,0.151601324435469,0.146185778430793,2024.71418928221,2024.71960482821,NA,Central,Central
684,697,0.00905679593595887,-113.887602110419,42.4675649269768,-114.00429927175,43.4917976399466,0.151606017954502,0.142549222018543,2024.7105527258,2024.71960952173,NA,Pacific,Pacific
1318,1319,0.00154369420667089,-96.8443857571913,37.1041849039139,-96.0676159814976,37.0140147738817,0.151951368465498,0.150407674258827,2024.71841117804,2024.71995487224,NA,Central,Central
1266,1267,0.00587334069639622,-103.42909660667,38.9829345108037,-95.1532868732084,38.7381873630242,0.152059119127189,0.146185778430793,2024.71418928221,2024.72006262291,NA,Central,Central
991,996,0.0113202801493584,-109.981038954588,42.9025660330051,-110.024387679949,44.2314516176948,0.152125894426215,0.140805614276857,2024.70880911806,2024.7201293982,NA,Pacific,Central
1267,1277,7.3207530709718e-05,-95.1532868732084,38.7381873630242,-95.073565910533,38.7009853448855,0.152132326657899,0.152059119127189,2024.72006262291,2024.72013583044,NA,Central,Central
1068,1254,0.00523532694715168,-108.958535909346,43.5873734762091,-109.269864105969,43.7096076495858,0.152148137189384,0.146912810242232,2024.71491631402,2024.72015164097,NA,Central,Central
697,699,0.000868817995827609,-114.00429927175,43.4917976399466,-113.521300510969,43.3405417016637,0.152474835950329,0.151606017954502,2024.71960952173,2024.72047833973,NA,Pacific,Pacific
