trait,country,admin1
A/Great_Horned_Owl/Iowa/22-011678-001/2022|H5N1|USA-IA|2022-04-15|avian|A1,USA,IA
A/Rosss_Goose/Iowa/22-008378-001/2022|H5N1|USA-IA|2022-03-15|avian|A1,USA,IA
A/Rosss_Goose/Illinois/22-007691-001/2022|H5N1|USA-IL|2022-03-06|avian|A1,USA,IL
A/Graylag_Goose/Illinois/22-008377-005/2022|H5N1|USA-IL|2022-03-14|avian|A1,USA,IL
A/Graylag_Goose/Illinois/22-008377-002/2022|H5N1|USA-IL|2022-03-14|avian|A1,USA,IL
A/goose/Illinois/22-008377-004/2022|H5N1|USA-IL|2022-03-14|avian|A1,USA,IL
A/guinea_fowl/Illinois/22-007382-001/2022|H5N1|USA-IL|2022-03-09|avian|A1,USA,IL
A/Bald_Eagle/Indiana/22-011948-001/2022|H5N1|USA-IN|2022-04-13|avian|A1,USA,IN
A/Bald_Eagle/Indiana/22-011948-002/2022|H5N1|USA-IN|2022-04-13|avian|A1,USA,IN
A/turkey/Indiana/22-005289-001/2022|H5N1|USA-IN|2022-02-16|avian|A1,USA,IN
A/turkey/Indiana/22-005289-002/2022|H5N1|USA-IN|2022-02-16|avian|A1,USA,IN
A/turkey/Indiana/22-004688-002/2022|H5N1|USA-IN|2022-02-14|avian|A1,USA,IN
A/turkey/Indiana/22-003707-003/2022|H5N1|USA-IN|2022-02-07|avian|A1,USA,IN
A/turkey/Indiana/22-004688-003/2022|H5N1|USA-IN|2022-02-14|avian|A1,USA,IN
A/turkey/Indiana/22-004688-006/2022|H5N1|USA-IN|2022-02-14|avian|A1,USA,IN
A/turkey/Indiana/22-005696-001/2022|H5N1|USA-IN|2022-02-21|avian|A1,USA,IN
A/turkey/Indiana/22-005696-002/2022|H5N1|USA-IN|2022-02-21|avian|A1,USA,IN
A/turkey/Indiana/22-005696-003/2022|H5N1|USA-IN|2022-02-21|avian|A1,USA,IN
A/turkey/Indiana/22-006261-002/2022|H5N1|USA-IN|2022-03-01|avian|A1,USA,IN
A/turkey/Indiana/22-006261-001/2022|H5N1|USA-IN|2022-03-01|avian|A1,USA,IN
A/turkey/Indiana/22-006259-001/2022|H5N1|USA-IN|2022-02-28|avian|A1,USA,IN
A/turkey/Indiana/22-006259-002/2022|H5N1|USA-IN|2022-02-28|avian|A1,USA,IN
A/turkey/Indiana/22-005328-001/2022|H5N1|USA-IN|2022-02-18|avian|A1,USA,IN
A/turkey/Indiana/22-005328-002/2022|H5N1|USA-IN|2022-02-18|avian|A1,USA,IN
A/bald_eagle/Kansas/W22-197/2022|H5N1|USA-KS|2022-03-13|avian|A1,USA,KS
A/Bald_Eagle/Kansas/22-008980-001/2022|H5N1|USA-KS|2022-03-14|avian|A1,USA,KS
A/poultry/Kansas/22-007391-001/2022|H5N1|USA-KS|2022-03-09|avian|A1,USA,KS
A/poultry/Kansas/22-007391-002/2022|H5N1|USA-KS|2022-03-09|avian|A1,USA,KS
A/chicken/Kansas/22-008259-002/2022|H5N1|USA-KS|2022-03-16|avian|A1,USA,KS
A/chicken/Kansas/22-008259-001/2022|H5N1|USA-KS|2022-03-16|avian|A1,USA,KS
A/Snow_Goose/Kansas/22-006804-007/2022|H5N1|USA-KS|2022-02-28|avian|A1,USA,KS
A/Snow_Goose/Kansas/22-008980-003/2022|H5N1|USA-KS|2022-03-12|avian|A1,USA,KS
A/Snow_Goose/Kansas/22-007919-003/2022|H5N1|USA-KS|2022-03-04|avian|A1,USA,KS
A/snow_goose/Kansas/W22-174B/2022|H5N1|USA-KS|2022-03-06|avian|A1,USA,KS
A/Snow_Goose/Kansas/22-007919-002/2022|H5N1|USA-KS|2022-03-06|avian|A1,USA,KS
A/Snow_Goose/Kansas/22-006804-003/2022|H5N1|USA-KS|2022-02-28|avian|A1,USA,KS
A/Turkey/Kansas/22-011119-001/2022|H5N1|USA-KS|2022-04-09|avian|A1,USA,KS
A/chicken/Kansas/22-008114-002/2022|H5N1|USA-KS|2022-03-16|avian|A1,USA,KS
A/duck/Kansas/22-008114-001/2022|H5N1|USA-KS|2022-03-16|avian|A1,USA,KS
A/Gadwall/Kentucky/22-005154-004/2022|H5N1|USA-KY|2022-02-08|avian|A1,USA,KY
A/chicken/Kentucky/22-004416-002/2022|H5N1|USA-KY|2022-02-11|avian|A1,USA,KY
A/chicken/Kentucky/22-004416-001/2022|H5N1|USA-KY|2022-02-11|avian|A1,USA,KY
A/chicken/Kentucky/22-004416-003/2022|H5N1|USA-KY|2022-02-11|avian|A1,USA,KY
A/Mallard/Kentucky/22-005153-004/2022|H5N1|USA-KY|2022-02-07|avian|A1,USA,KY
A/Snow_Goose/Kentucky/22-004809-001/2022|H5N1|USA-KY|2022-02-08|avian|A1,USA,KY
A/snow_goose/Kentucky/W22-092/2022|H5N1|USA-KY|2022-02-08|avian|A1,USA,KY
A/turkey/Kentucky/22-004546-001/2022|H5N1|USA-KY|2022-02-12|avian|A1,USA,KY
A/turkey/Kentucky/22-004546-002/2022|H5N1|USA-KY|2022-02-12|avian|A1,USA,KY
A/Snow_Goose/Kentucky/22-006742-003/2022|H5N1|USA-KY|2022-02-18|avian|A1,USA,KY
A/Snow_Goose/Kentucky/22-004809-002/2022|H5N1|USA-KY|2022-02-08|avian|A1,USA,KY
A/great_horned_owl/MA/22MM00199/2022|H5N1|USA-MA|2022-03-03|avian|A1,USA,MA
A/great_horned_owl/Massachusetts/22-006976-009/2022|H5N1|USA-MA|2022-02-28|avian|A1,USA,MA
A/Canada_Goose/Massachusetts/22-005893-002/2022|H5N1|USA-MA|2022-02-03|avian|A1,USA,MA
A/Canada_Goose/Massachusetts/22-005893-001/2022|H5N1|USA-MA|2022-02-03|avian|A1,USA,MA
A/Sebastopol_goose/Massachusetts/22-009371-001/2022|H5N1|USA-MA|2022-03-25|avian|A1,USA,MA
A/peregrine_falcon/Massachusetts/22-010671-009/2022|H5N1|USA-MA|2022-03-24|avian|A1,USA,MA
A/snowy_owl/MA/22MM00323/2022|H5N1|USA-MA|2022-02-07|avian|A1,USA,MA
A/snowy_owl/MA/22MM00463/2022|H5N1|USA-MA|2022-03-20|avian|A1,USA,MA
A/snowy_owl/Massachusetts/22-016611-010/2022|H5N1|USA-MA|2022-04-01|avian|A1,USA,MA
A/snowy_owl/Massachusetts/22-016611-012/2022|H5N1|USA-MA|2022-04-01|avian|A1,USA,MA
A/snowy_owl/Massachusetts/22-016611-002/2022|H5N1|USA-MA|2022-04-01|avian|A1,USA,MA
A/snowy_owl/Massachusetts/22-016611-003/2022|H5N1|USA-MA|2022-04-01|avian|A1,USA,MA
A/snowy_owl/MA/22MM00467/2022|H5N1|USA-MA|2022-04-10|avian|A1,USA,MA
A/great_horned_owl/Massachusetts/22-016611-013/2022|H5N1|USA-MA|2022-05-02|avian|A1,USA,MA
A/great_horned_owl/Massachusetts/22-016611-011/2022|H5N1|USA-MA|2022-05-02|avian|A1,USA,MA
A/peregrine_falcon/Massachusetts/22-036181-002/2022|H5N1|USA-MA|2022-06-26|avian|A1,USA,MA
A/great_horned_owl/Massachusetts/22-036181-003/2022|H5N1|USA-MA|2022-06-26|avian|A1,USA,MA
A/great_horned_owl/Massachusetts/22-036181-004/2022|H5N1|USA-MA|2022-06-26|avian|A1,USA,MA
A/Lesser_Scaup/Maryland/22-003098-003/2022|H5N1|USA-MD|2022-01-23|avian|A1,USA,MD
A/Lesser_scaup/MD/-LC-EESC-024/2022|H5N1|USA-MD|2022-01-23|avian|A1,USA,MD
A/chicken/Maryland/22-007086-001/2022|H5N1|USA-MD|2022-03-07|avian|A1,USA,MD
A/chicken/Maryland/22-006948-001/2022|H5N1|USA-MD|2022-03-04|avian|A1,USA,MD
A/chicken/Maryland/22-007273-003/2022|H5N1|USA-MD|2022-03-08|avian|A1,USA,MD
A/chicken/Maryland/22-006578-005/2022|H5N1|USA-MD|2022-03-03|avian|A1,USA,MD
A/chicken/Maryland/22-006578-001/2022|H5N1|USA-MD|2022-03-03|avian|A1,USA,MD
A/chicken/Maryland/22-007273-001/2022|H5N1|USA-MD|2022-03-08|avian|A1,USA,MD
A/chicken/Maryland/22-007273-002/2022|H5N1|USA-MD|2022-03-08|avian|A1,USA,MD
A/chicken/Maryland/22-006578-002/2022|H5N1|USA-MD|2022-03-03|avian|A1,USA,MD
A/chicken/Maryland/22-007273-004/2022|H5N1|USA-MD|2022-03-08|avian|A1,USA,MD
A/chicken/Maryland/22-008243-001/2022|H5N1|USA-MD|2022-03-17|avian|A1,USA,MD
A/chicken/Maryland/22-006578-013/2022|H5N1|USA-MD|2022-03-03|avian|A1,USA,MD
A/chicken/Maryland/22-007273-005/2022|H5N1|USA-MD|2022-03-08|avian|A1,USA,MD
A/chicken/Maryland/22-006578-014/2022|H5N1|USA-MD|2022-03-03|avian|A1,USA,MD
A/chicken/Maine/22-008540-001/2022|H5N1|USA-ME|2022-03-22|avian|A1,USA,ME
A/chicken/Maine/22-005158-001/2022|H5N1|USA-ME|2022-02-17|avian|A1,USA,ME
A/chicken/Maine/22-009412-001/2022|H5N1|USA-ME|2022-03-25|avian|A1,USA,ME
A/guinea_fowl/Maine/22-009412-002/2022|H5N1|USA-ME|2022-03-25|avian|A1,USA,ME
A/chicken/Maine/22-005443-001/2022|H5N1|USA-ME|2022-02-20|avian|A1,USA,ME
A/turkey/Maine/22-007410-001/2022|H5N1|USA-ME|2022-03-10|avian|A1,USA,ME
A/chicken/Maine/22-007410-002/2022|H5N1|USA-ME|2022-03-10|avian|A1,USA,ME
A/chicken/Maine/22-007582-001/2022|H5N1|USA-ME|2022-03-11|avian|A1,USA,ME
A/turkey/Maine/22-008367-002/2022|H5N1|USA-ME|2022-03-18|avian|A1,USA,ME
A/chicken/Maine/22-008367-001/2022|H5N1|USA-ME|2022-03-18|avian|A1,USA,ME
A/caspian_tern/Michigan/22-026129-002/2022|H5N1|USA-MI|2022-08-10|avian|A1,USA,MI
A/Tundra_Swan/Michigan/22-011517-010/2022|H5N1|USA-MI|2022-04-11|avian|A1,USA,MI
A/Catalina_macaw/Michigan/22-010848-002/2022|H5N1|USA-MI|2022-04-04|avian|A1,USA,MI
A/Amazon_parrot/Michigan/22-010848-001/2022|H5N1|USA-MI|2022-04-04|avian|A1,USA,MI
A/Black_Swift/Michigan/22-007412-003/2022|H5N1|USA-MI|2022-03-09|avian|A1,USA,MI
A/Black_Swift/Michigan/22-007412-002/2022|H5N1|USA-MI|2022-03-09|avian|A1,USA,MI
A/turkey/Michigan/22-005440-001/2022|H5N1|USA-MI|2022-02-22|avian|A1,USA,MI
A/guinea_fowl/Michigan/22-005440-003/2022|H5N1|USA-MI|2022-02-22|avian|A1,USA,MI
A/chicken/Michigan/22-005440-002/2022|H5N1|USA-MI|2022-02-22|avian|A1,USA,MI
A/great_horned_owl/Michigan/22-012056-007/2022|H5N1|USA-MI|2022-04-14|avian|A1,USA,MI
A/Great_Horned_Owl/Michigan/22-012056-006/2022|H5N1|USA-MI|2022-04-14|avian|A1,USA,MI
A/Great_Horned_Owl/Minnesota/22-010027-007/2022|H5N1|USA-MN|2022-03-30|avian|A1,USA,MN
A/turkey_vulture/Minnesota/22-014520-001/2022|H5N1|USA-MN|2022-05-04|avian|A1,USA,MN
A/turkey/Minnesota/22-010123-004/2022|H5N1|USA-MN|2022-04-04|avian|A1,USA,MN
A/great_horned_owl/Minnesota/22-013663-002/2022|H5N1|USA-MN|2022-05-03|avian|A1,USA,MN
A/red_tailed_hawk/Minnesota/22-015675-001/2022|H5N1|USA-MN|2022-05-17|avian|A1,USA,MN
A/turkey/Minnesota/22-009997-001/2022|H5N1|USA-MN|2022-04-02|avian|A1,USA,MN
A/turkey/Minnesota/22-009997-002/2022|H5N1|USA-MN|2022-04-02|avian|A1,USA,MN
A/hooded_merganser/Minnesota/22-013435-001/2022|H5N1|USA-MN|2022-04-27|avian|A1,USA,MN
A/red_tailed_hawk/Minnesota/22-014517-001/2022|H5N1|USA-MN|2022-05-03|avian|A1,USA,MN
A/peregrine_falcon/Minnesota/22-021121-001/2022|H5N1|USA-MN|2022-07-07|avian|A1,USA,MN
A/american_crow/Minnesota/22-014899-001/2022|H5N1|USA-MN|2022-05-10|avian|A1,USA,MN
A/wood_duck/Minnesota/22-014659-001/2022|H5N1|USA-MN|2022-05-07|avian|A1,USA,MN
