trait	country	admin1	admin2	precision	latitude	longitude
A/falcon/Costa_Rica/INC-0001-D0377-23/2023|H5N1|Costa_Rica|2023-01-26|avian|B3.2	Costa_Rica	Limon	Colorado	district	10.613232	-83.593246
A/american_wigeon/Florida/22-040720-004/2022|H5N1|USA-FL|2022-12-10|avian|B3.2	USA-FL	Florida	Palm Beach	county	26.5662704518829	-80.0597297258026
A/muscovy_duck/Florida/22-036966-002/2022|H5N1|USA-FL|2022-11-04|avian|B3.2	USA-FL	Florida	Sarasota	county	27.165870010849	-82.4356534461464
A/peregrine_falcon/Florida/22-035514-001/2022|H5N1|USA-FL|2022-10-29|avian|B3.2	USA-FL	Florida	Polk	county	27.9467615228958	-82.0318201388822
A/chicken/Florida/22-032963-001/2022|H5N1|USA-FL|2022-10-11|avian|B3.2	USA-FL	Florida	Osceola	county	28.25620211087	-81.3100458994798
A/american_coot/Florida/23-002762-015/2022|H5N1|USA-FL|2022-12-19|avian|B3.2	USA-FL	Florida	Brevard	county	28.0129956240608	-80.7550913853488
A/gannet/Florida/23-002762-022/2022|H5N1|USA-FL|2022-12-30|avian|B3.2	USA-FL	Florida	Brevard	county	27.8371850019414	-80.5666235997196
A/double_crested_cormorant/Florida/22-036552-001/2022|H5N1|USA-FL|2022-11-03|avian|B3.2	USA-FL	Florida	Orange	county	28.5297414861604	-81.2716038637818
A/chicken/Florida/22-033923-001/2022|H5N1|USA-FL|2022-10-20|avian|B3.2	USA-FL	Florida	Lake	county	28.5170630656138	-81.9399016199029
A/gadwall/Texas/23-003062-010/2023|H5N1|USA-TX|2023-01-18|avian|B3.2	USA-TX	Texas	Colorado	county	29.6938299710276	-96.8050089213893
A/american_wigeon/Texas/23-003062-016/2023|H5N1|USA-TX|2023-01-18|avian|B3.2	USA-TX	Texas	Colorado	county	29.6617560038332	-96.491774047836
A/american_wigeon/Texas/23-003062-020/2023|H5N1|USA-TX|2023-01-18|avian|B3.2	USA-TX	Texas	Colorado	county	29.7818808174598	-96.3516429966217
A/northern_shoveler/Louisiana/22-037236-004/2022|H5N1|USA-LA|2022-11-12|avian|B3.2	USA-LA	Louisiana	Cameron	county	29.9891509773273	-93.0370771990483
A/gadwall/Texas/22-036753-040-R/2022|H5N1|USA-TX|2022-11-05|avian|B3.2	USA-TX	Texas	Jefferson	county	29.8894892198784	-93.9875300784889
A/northern_shoveler/Texas/23-007477-003-original/2023|H5N1|USA-TX|2023-01-19|avian|B3.2	USA-TX	Texas	Orange	county	30.203492323336	-93.8372377612262
A/snow_goose/Louisiana/22-039688-009/2022|H5N1|USA-LA|2022-11-30|avian|B3.2	USA-LA	Louisiana	Calcasieu	county	30.0568749759453	-93.3807707605119
A/blue_winged_teal/Louisiana/22-033477-003/2022|H5N1|USA-LA|2022-09-20|avian|B3.2	USA-LA	Louisiana	Jefferson Davis	county	30.4505377594221	-92.6831510000195
A/american_green_winged_teal/Georgia/22-038443-007/2022|H5N1|USA-GA|2022-11-19|avian|B3.2	USA-GA	Georgia	McIntosh	county	31.5884830534145	-81.3721171973812
A/american_green_winged_teal/Louisiana/22-041760-007/2022|H5N1|USA-LA|2022-12-17|avian|B3.2	USA-LA	Louisiana	La Salle	county	31.8796265203878	-92.1428748875357
A/american_green_winged_teal/Texas/23-000110-004/2022|H5N1|USA-TX|2022-12-04|avian|B3.2	USA-TX	Texas	Freestone	county	31.6263888452613	-96.2202207187211
A/goose/Louisiana/22-033391-001/2022|H5N1|USA-LA|2022-10-14|avian|B3.2	USA-LA	Louisiana	Ouachita	county	32.5062722319917	-92.0306045819809
A/mallard/Texas/22-035744-001/2022|H5N1|USA-TX|2022-10-31|avian|B3.2	USA-TX	Texas	Tarrant	county	32.79180702061	-97.18797522384
A/gadwall/South_Carolina/22-042020-005/2022|H5N1|USA-SC|2022-12-20|avian|B3.2	USA-SC	South_Carolina	Charleston	county	32.6539757156041	-80.2745467426256
A/goose/Louisiana/23-000409-006/2022|H5N1|USA-LA|2022-12-02|avian|B3.2	USA-LA	Louisiana	Morehouse	county	32.8442753616139	-91.949603759786
A/gadwall/South_Carolina/22-042019-001/2022|H5N1|USA-SC|2022-12-15|avian|B3.2	USA-SC	South_Carolina	Colleton	county	32.8784956901115	-80.5898445113179
A/mottled_duck/South_Carolina/22-042180-002/2022|H5N1|USA-SC|2022-12-16|avian|B3.2	USA-SC	South_Carolina	Colleton	county	33.1063176957248	-80.733192650448
A/bald_eagle/South_Carolina/23-008111-001/2023|H5N1|USA-SC|2023-03-04|avian|B3.2	USA-SC	South_Carolina	Colleton	county	32.6375129053552	-80.5010391206593
A/bald_eagle/South_Carolina/23-008111-002/2023|H5N1|USA-SC|2023-03-04|avian|B3.2	USA-SC	South_Carolina	Colleton	county	32.991083791147	-81.0499800268505
A/american_white_pelican/California/22-035596-001/2022|H5N1|USA-CA|2022-10-27|avian|B3.2	USA-CA	California	San Diego	county	32.5976840032556	-116.796797691975
A/pelican/Arizona/22-038234-002/2022|H5N1|USA-AZ|2022-10-15|avian|B3.2	USA-AZ	Arizona	Maricopa	county	33.5107566278777	-113.257797752165
A/pelican/Arizona/22-038234-003/2022|H5N1|USA-AZ|2022-10-15|avian|B3.2	USA-AZ	Arizona	Maricopa	county	33.4608238624381	-111.674524855341
A/pelican/Arizona/22-038234-004/2022|H5N1|USA-AZ|2022-10-15|avian|B3.2	USA-AZ	Arizona	Maricopa	county	33.2350344016177	-111.683753848463
A/pelican/Arizona/22-038234-005/2022|H5N1|USA-AZ|2022-10-15|avian|B3.2	USA-AZ	Arizona	Maricopa	county	33.1499369387018	-112.217756046579
A/pelican/Arizona/22-038234-001/2022|H5N1|US-AZ|2022-10-15|avian|B3.2	US-AZ	Arizona	Maricopa	county	33.3372313561226	-111.583047226602
A/canada_goose/Arizona/22-034128-001-R/2022|H5N1|US-AZ|2022-10-17|avian|B3.2	US-AZ	Arizona	Maricopa	county	32.5205700525785	-112.845098263774
A/snow_goose/Mississippi/22-038820-002-R/2022|H5N1|USA-MS|2022-11-27|avian|B3.2	USA-MS	Mississippi	Leflore	county	33.3193904069996	-90.4083128953304
A/snow_goose/Mississippi/22-038820-006-R/2022|H5N1|USA-MS|2022-11-27|avian|B3.2	USA-MS	Mississippi	Leflore	county	33.4975120638011	-90.2372105857029
A/chicken/Mississippi/23-008358-001-original/2023|H5N1|USA-MS|2023-03-15|avian|B3.2	USA-MS	Mississippi	Monroe	county	33.9518388143138	-88.2939516368596
A/chicken/Mississippi/23-008358-002-original/2023|H5N1|USA-MS|2023-03-15|avian|B3.2	USA-MS	Mississippi	Monroe	county	33.8940574916572	-88.2988121026162
