trait	admin1	admin2	latitude	longitude
A/mallard/New_Hampshire/24-004334-006-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.4781313490511	-72.0742697934172
A/mallard/New_Hampshire/24-004334-008-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.5202077032847	-72.3100629226872
A/mallard/New_Hampshire/24-004334-010-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.4194980082292	-72.1041431982267
A/mallard/New_Hampshire/24-004334-011-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.2578161967293	-72.3509099592437
A/mallard/New_Hampshire/24-004334-012-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.3512504766315	-72.321222399633
A/mallard/New_Hampshire/24-004334-013-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.5761503787008	-72.2880821442375
A/mallard/New_Hampshire/24-004334-016-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.3944315314904	-72.0981358197968
A/mallard/New_Hampshire/24-004334-017-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.5158809931248	-72.176176794845
A/mallard/New_Hampshire/24-004334-018-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.3927699077496	-72.3952991924276
A/mallard/New_Hampshire/24-004334-019-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.1869844093949	-72.0376204472453
A/mallard/New_Hampshire/24-004334-020-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.1869702783002	-72.3748013579385
A/mallard/New_Hampshire/24-004334-021-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.2311658884933	-72.3935517759999
A/mallard/New_Hampshire/24-004334-024-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.5491153605592	-72.3038549890893
A/mallard/New_Hampshire/24-004334-026-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.4191355084371	-72.3727482850273
A/mallard/New_Hampshire/24-004334-027-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.4104563768908	-72.2473783256293
A/mallard/New_Hampshire/24-004334-037-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.4921225543837	-72.1300073565859
A/mallard/New_Hampshire/24-004334-044/2024|H5N1|USA-NH|2024-02-02|avian|C2.1	USA-NH	Sullivan	43.2353919255505	-72.4232468508209
A/American_crow/Maine/23NE01629/2024|H5N1|USA-ME|2024-01-30|avian|C2.1	USA-ME	York	43.5127531208027	-70.88765185318
A/chicken/Maine/24-000724-001/2024|H5N1|USA-ME|2024-01-08|avian|C2.1	USA-ME	York	43.2824247537532	-70.6006811368614
A/chicken/Maine/24-000724-002/2024|H5N1|USA-ME|2024-01-08|avian|C2.1	USA-ME	York	43.5448609868347	-70.700166042944
A/chicken/Maine/24-000724-003/2024|H5N1|USA-ME|2024-01-08|avian|C2.1	USA-ME	York	43.2815776917813	-70.680761936609
A/turkey/Minnesota/24-012740-001-original/2024|H5N1|USA-MN|2024-04-29|avian|C2.1	USA-MN	Dodge	44.0083279545236	-92.9644843374316
A/turkey/Minnesota/24-012740-002-original/2024|H5N1|USA-MN|2024-04-29|avian|C2.1	USA-MN	Dodge	43.9475586545194	-92.8472650462951
A/chicken/Maine/24-007946-001/2024|H5N1|USA-ME|2024-03-13|avian|C2.1	USA-ME	Knox	44.2849202601101	-69.2734820200642
A/domestic_goose/Maine/24-007946-002-original/2024|H5N1|USA-ME|2024-03-13|avian|C2.1	USA-ME	Knox	44.1550187452937	-69.1934960966841
A/mallard/Maine/24-004329-015-original/2024|H5N1|USA-ME|2024-01-30|avian|C2.1	USA-ME	Androscoggin	44.0819188133121	-70.1831752628995
A/mallard/Maine/24-004329-016-original/2024|H5N1|USA-ME|2024-01-30|avian|C2.1	USA-ME	Androscoggin	44.1065484699591	-70.312267388931
A/duck/Maine/24-004330-036/2024|H5N1|USA-ME|2024-01-31|avian|C2.1	USA-ME	Androscoggin	44.3064770490527	-70.1723537193876
A/mallard/Maine/24-004332-010-original/2024|H5N1|USA-ME|2024-02-02|avian|C2.1	USA-ME	Androscoggin	44.4230957425319	-70.2022799749361
A/chicken/Maine/24-002533-001-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1	USA-ME	Kennebec	44.2421262812046	-69.71137381435
A/chicken/Maine/24-002533-002-original/2024|H5N1|USA-ME|2024-01-23|avian|C2.1	USA-ME	Kennebec	44.5091312628672	-69.8161610373591
A/chicken/Vermont/23-038532-001/2023|H5N1|USA-VT|2023-12-05|avian|C2.1	USA-VT	Orleans	44.8570415652892	-72.1664149680402
A/chicken/Vermont/23-038532-002/2023|H5N1|USA-VT|2023-12-05|avian|C2.1	USA-VT	Orleans	44.7830499565361	-72.3067224008177
