trait,location,latitude,longitude,coordinate_type
A/chicken/Iowa/24-037491-001/2024|H5N1|USA-IA|2024-12-13|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037491-002/2024|H5N1|USA-IA|2024-12-13|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/swan/Iowa/24-037493-001/2024|H5N1|USA-IA|2024-12-13|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037488-001/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037488-002/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037488-003/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037488-005/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/chicken/Iowa/24-037488-006/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/turkey/Iowa/24-037492-001/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/turkey/Iowa/24-037492-002/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/swan/Iowa/24-037722-001/2024|H5N1|USA-IA|2024-12-14|avian|D1.1,USA-IA,42.0423,-93.3891,centroid
A/tiger/Idaho/24-035868-001/2024|H5N1|USA-ID|2024-11-19|other_mammal|D1.1,USA-ID,43.7825,-114.133,centroid
A/chicken/Idaho/24-036514-001-R2/2024|H5N1|USA-ID|2024-12-06|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/chicken/Idaho/24-036523-001-R2/2024|H5N1|USA-ID|2024-12-06|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/duck/Idaho/24-037521-001/2024|H5N1|USA-ID|2024-12-12|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/chicken/Idaho/24-037521-002/2024|H5N1|USA-ID|2024-12-12|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/turkey/Idaho/25-000070-001/2024|H5N1|USA-ID|2024-12-26|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/turkey/Idaho/25-000070-002/2024|H5N1|USA-ID|2024-12-26|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/turkey/Idaho/25-000070-003/2024|H5N1|USA-ID|2024-12-26|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/chicken/Idaho/25-000072-001/2024|H5N1|USA-ID|2024-12-26|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/chicken/Idaho/25-000073-001/2024|H5N1|USA-ID|2024-12-26|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/chicken/Idaho/25-000074-001/2024|H5N1|USA-ID|2024-12-29|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/Chicken/ID/25-000539-001/2025|H5N1|USA-ID|2025-01-06|avian|D1.1,USA-ID,43.7825,-114.133,centroid
A/turkey/Illinois/24-037156-001/2024|H5N1|USA-IL|2024-12-11|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/turkey/Illinois/24-037156-002/2024|H5N1|USA-IL|2024-12-11|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/Turkey/IL/24-038393-001/2024|H5N1|USA-IL|2024-12-18|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/Turkey/IL/24-038393-002/2024|H5N1|USA-IL|2024-12-18|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/Turkey/IL/24-038393-003/2024|H5N1|USA-IL|2024-12-18|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/Turkey/IL/24-038393-004/2024|H5N1|USA-IL|2024-12-18|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/duck/Illinois/25-000057-001/2024|H5N1|USA-IL|2024-12-31|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/duck/Illinois/25-000059-001/2024|H5N1|USA-IL|2024-12-31|avian|D1.1,USA-IL,39.946,-89.1991,centroid
A/duck/Illinois/25-000060-001/2024|H5N1|USA-IL|2024-12-31|avian|D1.1,USA-IL,39.946,-89.1991,centroid
