state	joint	prior	likelihood	flyway.clock.rate	flyway.meanRate	flyway.rates.Atlantic.Central	flyway.rates.Atlantic.Mississippi	flyway.rates.Atlantic.Pacific	flyway.rates.Central.Mississippi	flyway.rates.Central.Pacific	flyway.rates.Mississippi.Pacific	flyway.rates.Central.Atlantic	flyway.rates.Mississippi.Atlantic	flyway.rates.Pacific.Atlantic	flyway.rates.Mississippi.Central	flyway.rates.Pacific.Central	flyway.rates.Pacific.Mississippi	flyway.indicators.Atlantic.Central	flyway.indicators.Atlantic.Mississippi	flyway.indicators.Atlantic.Pacific	flyway.indicators.Central.Mississippi	flyway.indicators.Central.Pacific	flyway.indicators.Mississippi.Pacific	flyway.indicators.Central.Atlantic	flyway.indicators.Mississippi.Atlantic	flyway.indicators.Pacific.Atlantic	flyway.indicators.Mississippi.Central	flyway.indicators.Pacific.Central	flyway.indicators.Pacific.Mississippi	flyway.nonZeroRates	flyway.branchRates	c_flyway.count[1]	c_allTransitions[1]
2100000	-766.8727860666918	-126.13457758951961	-640.7382084771722	0.644917873484017	0.6449178734840169	0.5042060921292196	0.2635308332281883	0.7721438949898117	1.7758807766092881	0.34158580329208277	0.2415420526840642	0.5308241195716459	1.7754934722517464	0.22967426127645854	0.7244911225326535	3.0506600406237436	1.2309020235256471	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	229.0	227.0
2200000	-766.7258693180206	-132.01441460637616	-634.7114547116445	0.6639785623388849	0.6639785623388853	1.867941806718592	0.42296990203187046	1.7457083676369902	2.316424994600327	0.32404185191430984	1.6335933002348735	0.5537500820850932	1.7862863349974796	0.25687848547802117	0.7119212611229289	2.845640554586608	1.1125203810100757	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	227.0	225.0
2300000	-763.0951892364753	-116.00225070645526	-647.0929385300201	0.5536341976877984	0.5536341976877993	1.9832872592889628	0.16140707283410935	0.10708812887810881	1.8678558812810744	0.33229311365747827	1.732880723102012	0.7072274034685421	1.3113017725092604	0.1340713711380348	0.911502430711178	3.42705476187698	0.6812089674148599	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	215.0	215.0
2400000	-778.7186892794623	-123.43353543655175	-655.2851538429105	0.6439168722405426	0.6439168722405421	1.3542813019810989	0.3438898281656784	0.7574976099062574	1.6199629868414442	0.07160843693257402	1.1931005994026114	0.3189007639793015	1.4401547319084662	0.5408096498715839	0.2938365719992575	2.600911451733451	0.6296461518620463	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	233.0	226.0
2500000	-776.5055075582356	-117.91030396002176	-658.5952035982139	0.598847790697812	0.5988477906978115	0.9375662974027879	0.43660699119239593	0.5371603221825546	2.612455208850153	3.2014760486999667	1.6291952348832583	1.1683342691224734	1.440651261943062	0.5046846178446994	0.5075767130135631	0.3521142344213755	1.721330585977823	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	233.0	231.0
2600000	-760.8216673360204	-133.07508203050364	-627.7465853055168	0.6615501635510199	0.6615501635510204	0.2945890461110124	0.5389420092215043	1.2058607742749154	1.974606068420376	0.13892044642455448	0.9706301950533717	0.18655510756669452	1.47330571178357	0.3154158129043419	0.8588870535255122	2.82996236244486	0.9923935600334147	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	9.0	0.0	222.0	221.0
2700000	-767.2674802662726	-113.62343913406573	-653.6440411322069	0.5622143320388301	0.5622143320388308	0.9543385930550412	0.46795860728070376	0.4493813367820042	2.2667849831963567	3.3143095125079385	1.548340940075746	0.9965374816936902	1.4107470809855085	0.5381415477797482	0.3590985376183109	0.4567837601039298	0.04020255528194011	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	232.0	221.0
2800000	-774.9164178320642	-117.18479403038387	-657.7316238016804	0.620539424173961	0.6205394241739616	0.6291147119533741	0.2315182303652672	1.1982937809579781	1.9756956885552743	1.8214990968399234	0.5967326741976673	0.4135726580224534	1.2143457504436392	0.5201557253795103	0.499764729735823	0.0816274243289993	0.32655239921472584	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0	0.0	227.0	219.0
2900000	-773.1991013623818	-105.75158060418711	-667.4475207581947	0.546798106397454	0.5467981063974552	1.3262618100914634	0.21680710147671603	0.07241583857672453	1.8159843237387894	2.3100681185458094	1.2309204116843044	0.9891859377545323	0.8752277663161726	1.8033548559320955	0.8688108690890002	0.13987910102677967	0.3619914848168644	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	222.0	223.0
3000000	-769.7215456532482	-112.2902160294186	-657.4313296238296	0.5682315917123123	0.5682315917123129	0.3228120440077795	0.33507604956868886	1.0549934446521265	2.005788358958937	2.6562645306854105	1.8371860614995732	0.7693210044715476	0.8878063258762778	0.7595775641293895	0.9588368905602869	0.14834210858217825	0.5051021750021827	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0	0.0	234.0	229.0
