trait,country,admin1,admin2,collection_date
SRR36212136|A/Peregrine_Falcon/DE/25G02350-001-original/2025|H5N1|USA-DE|Unknown|2025-10-08|wild_avian|D1.1,USA,DE,Unknown,2025-10-08
SRR32416454|A/bald_eagle/FL/25-003208-001/2025|H5N1|USA-FL|Lee|2025-01-27|wild_avian|D1.1,USA,FL,Lee,2025-01-27
SRR33508814|A/lesser_scaup/FL/25-003912-002/2025|H5N1|USA-FL|Indian_River|2025-01-14|wild_avian|D1.1,USA,FL,Indian_River,2025-01-14
SRR34491474|A/blue_winged_teal/FL/24-036665-008/2024|H5N1|USA-FL|Palm_Beach|2024-11-23|wild_avian|D1.1,USA,FL,Palm_Beach,2024-11-23
SRR34491475|A/blue_winged_teal/FL/24-036665-004/2024|H5N1|USA-FL|Palm_Beach|2024-11-23|wild_avian|D1.1,USA,FL,Palm_Beach,2024-11-23
SRR36406277|A/Fish_crow/FL/25G04379-001/2025|H5N1|USA-FL|Lee|2025-11-17|wild_avian|D1.1,USA,FL,Lee,2025-11-17
SRR36538366|A/ring_necked_duck/FL/25G04963-061/2025|H5N1|USA-FL|Lake|2025-11-22|wild_avian|D1.1,USA,FL,Lake,2025-11-22
SRR36617659|A/green_winged_teal/FL/24-037597-003/2024|H5N1|USA-FL|St_Johns|2024-12-07|wild_avian|D1.1,USA,FL,St_Johns,2024-12-07
SRR36628218|A/green_winged_teal/FL/24-037597-021/2024|H5N1|USA-FL|St_Johns|2024-12-07|wild_avian|D1.1,USA,FL,St_Johns,2024-12-07
SRR32653680|A/Canada_Goose/FL/25-004847-003-original/2025|H5N1|USA-FL|Unknown|2025-02-03|wild_avian|D1.1,USA,FL,Unknown,2025-02-03
SRR33029789|A/Bald_Eagle/FL/25-009986-004-original/2025|H5N1|USA-FL|Unknown|2025-03-20|wild_avian|D1.1,USA,FL,Unknown,2025-03-20
SRR33124756|A/chicken/FL/25-006816-001-original/2025|H5N1|USA-FL|Unknown|2025-02-25|domestic_avian|D1.1,USA,FL,Unknown,2025-02-25
SRR33370194|A/Great_Horned_Owl/FL/25-012397-001-original/2025|H5N1|USA-FL|Unknown|2025-03-20|wild_avian|D1.1,USA,FL,Unknown,2025-03-20
SRR36209051|A/Muscovy_Duck/FL/25G03354-001-original/2025|H5N1|USA-FL|Unknown|2025-10-30|wild_avian|D1.1,USA,FL,Unknown,2025-10-30
SRR36211970|A/Mottled_Duck/FL/25G01837-001-original/2025|H5N1|USA-FL|Unknown|2025-09-25|wild_avian|D1.1,USA,FL,Unknown,2025-09-25
SRR36212429|A/blue-winged_Teal/FL/25-026196-001-original/2025|H5N1|USA-FL|Unknown|2025-09-24|wild_avian|D1.1,USA,FL,Unknown,2025-09-24
SRR36582243|A/american_green_winged_teal/GA/25G05285-010/2025|H5N1|USA-GA|McIntosh|2025-11-22|wild_avian|D1.1,USA,GA,McIntosh,2025-11-22
SRR32868886|A/bald_eagle/GA/25-007707-001/2025|H5N1|USA-GA|Walton|2025-03-03|wild_avian|D1.1,USA,GA,Walton,2025-03-03
