trait,country,admin1,admin2,collection_date
EPI_ISL_19387832|A/mallard/Massachusetts/24-004240-009-original/2024|H5N1|USA-MA|2024-02-04|avian|C2.1,USA,MA,Unknown,2024-02-04
EPI_ISL_19387833|A/green-winged_teal/North_Carolina/24-004327-001-original/2024|H5N1|USA-NC|2024-01-30|avian|C2.1,USA,NC,Pamlico,2024-01-30
EPI_ISL_19387834|A/mallard/Maine/24-004329-015-original/2024|H5N1|USA-ME|2024-01-30|avian|C2.1,USA,ME,Androscoggin,2024-01-30
EPI_ISL_19094436|A/mallard/Maine/24-004330-001/2024|H5N1|USA-ME|2024-01-31|avian|C2.1,USA,ME,Unknown,2024-01-31
EPI_ISL_19429982|A/mallard/Maine/24-004332-010-original/2024|H5N1|USA-ME|2024-02-02|avian|C2.1,USA,ME,Androscoggin,2024-02-02
EPI_ISL_19429997|A/mallard/New_Hampshire/24-004334-021-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,USA,NH,Sullivan,2024-02-02
EPI_ISL_19430002|A/mallard/New_Hampshire/24-004334-037-original/2024|H5N1|USA-NH|2024-02-02|avian|C2.1,USA,NH,Sullivan,2024-02-02
EPI_ISL_19430003|A/Canada_goose/Virginia/24-004375-001-original/2024|H5N1|USA-VA|2024-02-06|avian|C2.1,USA,VA,Powhatan,2024-02-06
SRR29740473|A/canada_goose/MA/24-004865-013/2024|H5N1|USA-MA|2024-02-05|avian|C2.1,USA,MA,Essex,2024-02-05
EPI_ISL_19372826|A/turkey/North_Carolina/24-005140-001-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1,USA,NC,Duplin,2024-02-15
EPI_ISL_19372827|A/turkey/North_Carolina/24-005140-002-original/2024|H5N1|USA-NC|2024-02-15|avian|C2.1,USA,NC,Duplin,2024-02-15
EPI_ISL_19387845|A/chicken/New_York/24-005701-001-original/2024|H5N1|USA-NY|2024-02-22|avian|C2.1,USA,NY,Onondaga,2024-02-22
EPI_ISL_19387850|A/peafowl/Ohio/24-005906-001-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1,USA,OH,Mahoning,2024-02-23
EPI_ISL_19387851|A/poultry/Ohio/24-005906-002-original/2024|H5N1|USA-OH|2024-02-23|avian|C2.1,USA,OH,Mahoning,2024-02-23
SRR29740449|A/bald_eagle/MA/24-007606-010/2024|H5N1|USA-MA|2024-02-20|avian|C2.1,USA,MA,Unknown,2024-02-20
SRR29740441|A/american_crow/MA/24-007607-008/2024|H5N1|USA-MA|2024-03-07|avian|C2.1,USA,MA,Barnstable,2024-03-07
SRR29740431|A/white-winged_scoter/MA/24-007609-002/2024|H5N1|USA-MA|2024-02-23|avian|C2.1,USA,MA,Unknown,2024-02-23
