trait	country	admin1	latitude	longitude
EPI_ISL_19660998|A/great_horned_owl/Oregon/23-034944-001-original/2023|H5N1|USA-OR|2023-11-05|avian|A3	USA	OR	44.125465099334	-118.554235412343
EPI_ISL_19371784|A/American_wigeon/Oregon/23-035569-016-original/2023|H5N1|USA-OR|2023-11-04|avian|A3	USA	OR	44.363358732194	-121.750493084244
EPI_ISL_19660990|A/Canada_goose/Oregon/23-034940-001-original/2023|H5N1|USA-OR|2023-11-07|avian|A3	USA	OR	44.3552574955785	-118.425976802191
EPI_ISL_19490386|A/American_wigeon/Oregon/23-032793-004-original/2023|H5N1|USA-OR|2023-10-22|avian|A3	USA	OR	44.6655580554281	-122.721836222965
EPI_ISL_19660854|A/great_horned_owl/Oregon/23-036194-001-original/2023|H5N1|USA-OR|2023-11-13|avian|A3	USA	OR	42.4645289690629	-117.030430417436
EPI_ISL_19678935|A/chicken/Oregon/24-035148-001/2024|H5N1|USA-OR|2024-11-18|avian|A3	USA	OR	44.997138242422	-117.451652535599
EPI_ISL_19678934|A/chicken/Oregon/24-035148-002/2024|H5N1|USA-OR|2024-11-18|avian|A3	USA	OR	43.9936700754644	-119.862541864312
EPI_ISL_19604092|A/mallard/Oregon/22-041048-001/2022|H5N1|USA-OR|2022-12-11|avian|A3	USA	OR	43.5035701613841	-119.297799435059
EPI_ISL_19605592|A/red_tailed_hawk/Oregon/22-038528-001/2022|H5N1|USA-OR|2022-11-18|avian|A3	USA	OR	42.9703784735759	-120.952915819636
EPI_ISL_19737142|A/pheasant/South_Carolina/039001-001/2024|H5N1|USA-SC|2024-12-26|avian|A3	USA	SC	32.7161582109575	-80.4019648145409
EPI_ISL_19606640|A/american_crow/Washington/22-037636-003/2022|H5N1|USA-WA|2022-11-15|avian|A3	USA	WA	48.4605168971809	-121.742248675466
EPI_ISL_19605578|A/red_tailed_hawk/Wyoming/23-002118-001/2023|H5N1|USA-WY|2023-01-11|avian|A3	USA	WY	41.8259080171443	-110.707742305338
EPI_ISL_17964855|A/red-tailed_hawk/Wyoming/23-005384-001/2023|H5N1|USA-WY|2023-02-09|avian|A3	USA	WY	42.7438846599556	-108.807347291136
EPI_ISL_19605588|A/red_tailed_hawk/Wyoming/23-000979-001/2023|H5N1|USA-WY|2023-01-03|avian|A3	USA	WY	44.3309400295934	-106.867011721397
EPI_ISL_19607276|A/great_horned_owl/Wyoming/22-039756-001-3/2022|H5N1|USA-WY|2022-12-05|avian|A3	USA	WY	42.8582509540079	-105.890867252813
